"Nike running shoes",1,"Nike DOWNSHIFTER 7 Running Shoes For Men",1
"Rebook running shoes for women",1,"REEBOK SPEED XT Running Shoes For Women",0
"United Colors of Benetton sneakers",1,"United Colors of Benetton Sneakers For Men",1
"Zara shirt",2,"MARINE PRINT VISCOSE SHIRT",1
"Puma shirt",2,"Puma Printed men Round Neck Dark Blue T-Shirt",1
"Converse shoes",2,"Converse Full Sleeve Striped Women Sweatshirt",0
"Lee Cooper shirt",2,"Lee Cooper men Solid Casual Green Shirt",0
"Flying Machine shoes",1,"Flying Machine KYLE Boat shoes For Men",1
"Adidas running shoes",1,"ADIDAS ERDIGA 3 M Running Shoes For Men",0
"Adidas shoes",1,"ADIDAS NEBULAR 1.0 M Running Shoes",1
"Nike shirt",2,"Nike Printed men Round Neck Light Blue T-Shirt",0
"Nike shoes",1,"Nike LUNARCONVERGE Running Shoes For Men",0
"Adidas T-shirt",2,"ADIDAS Solid men Round Neck Orange T-Shirt",0
"Adidas shoes for men",1,"ADIDAS KRAY 2 M Running Shoes For Men",1
"Puma shoes",1,"Puma Salz III DP Sneakers For Men ",1
"Van Heusen shirt",2,"Van Heusen men Checkered Casual Blue Shirt",1
"Puma T-shirt",2,"Puma Solid men Polo Neck Black T-Shirt",1
"Reebok T-shirt",2,"REEBOK Solid Men’s Round Neck Maroon T-Shirt",1
"Nike air max shoes",1,"Nike AIR MAX INFURIATE LOW Basketball Shoes For Men",1
"Kalenji shirt",2,"KALENJI by Decathlon Printed Men Round Neck Grey T-Shirt",1
"Fila shoes",1,"Fila CONVERSION Basket Ball Shoes For Men",1
"Nike shirt",2,"Nike Printed men Round Neck White T-Shirt",1
"Lee Cooper jeans",2,"Lee Cooper Narrow Fit men Dark Blue Jeans",1
"Pepe jeans ",2,"Pepe Jeans Slim men Blue Jeans",0
"Fila T-shirt",2,"Fila Striped men Polo Neck Green T-Shirt",1
"Nike shoes",1,"Nike FLEX 2017 RN Running Shoes For Men",1
"Wrogn shirt",2,"WROGN men Self Design Casual Grey Shirt",1
"Reebok running shoes",1,"REEBOK Turbo Xtreme Running Shoes For Men",1
"Pepe jeans shirt",2,"Pepe Jeans men Checkered Casual Green Shirt",1
"Adidas shoes",1,"ADIDAS ADISTARK 1.0 Running Shoes For Men",1
"Puma T-shirt",2,"Puma Solid men Round Neck Grey T-Shirt",1
"Van Heusen pants",2,"Van Heusen Solid men Black Track Pants",1
"Nike shoes",1,"Nike RUNALLDAY Running Shoes For Men",0
"Reebok running shoes",1,"REEBOK Acciomax Lp Running Shoes For Men",1
"Louis Philippe shirt",2,"LP Louis Philippe men Checkered Casual Brown, White Shirt",0
"Van Heusen shirt",2,"Van Heusen men Solid Casual Black Shirt",0
"H&M shirt",2,"Easy-iron shirt Slim fit",1
"Peter England shirt",2,"Peter England men Checkered Casual Blue Shirt",1
"Woodland shoes",1,"Woodland Boots For Men",0
"Flying Machine shirt",2,"Flying Machine men Checkered Casual Red Shirt",0
"Peter England shirt",2,"Peter England men Checkered Casual Blue Shirt",1
"Levis jeans",2,"Levis Slim men Blue Jeans",0
"Levis T-shirt",2,"Levis Printed men Round Neck Black, White T-Shirt",0
"Flying Machine sneakers for men",1,"Flying Machine Sneakers For Men",1
"Bata slip on",1,"Bata KIT Slip On For Men",1
"Van Heusen shirt for men",2,"Van Heusen men Solid Casual Black Shirt",1
"Reebok running shoes",1,"REEBOK Acciomax Lp Running Shoes For Men",0
"Flying Machine shirt for men",2,"Flying Machine Men Printed Casual Blue Shirt",1
"Flying Machine shirt for women",2,"Flying Machine Women Solid Casual White Shirt",1
"Nivia football shoes",1,"Nivia Premier Carbonite Football Shoes For Men",1
"Sparx canvas shoes",1,"Sparx SD0323G Canvas Shoes For Men",0
"Peter England shirt",2,"Peter England men Checkered Casual Blue Shirt",0
"Adidas running shoes",1,"ADIDAS TYLO M Running Shoes For Men",0
"Nike running shoes",1,"Nike DOWNSHIFTER 7 Running Shoes For Men",1
"Woodland boots",1,"Woodland Boots For Men",0
"Tommy Hilfiger men shirt",2,"Tommy Hilfiger Boys Casual Grey Shirt",0
"Puma running shoes",1,"Puma Fettle Mesh Running Shoes For Men",1
"Reebok running shoes",1,"REEBOK Acciomax Lp Running Shoes For Men",1
"Bata slip on",1,"Bata KIT Slip On For Men",1
"Reebok T-shirt ",2,"REEBOK men T-Shirt",1
"Spykar T-shirt",2,"Spykar Printed men Round Neck Grey T-Shirt",1
