Nike,Shoes,Nike Shoes,clicked
Rebook,Shoes,Nike Shoes,notclicked
Benetton,Shoes,Benetton Shoes,clicked
Zara,Clothes,Zara clothes,clicked
Puma,Clothes,Puma Shirt,clicked
Converse,Clothes,Converse Clothes,notclicked
Lee Cooper,Clothes,Levis,notclicked
Zara,Clothes,Zara Shoes,clicked
Adidas,Shoes,Adidas Shoes,notclicked
Adidas ,Shoes,Adidas shoes,clicked
Nike,Clothes,Nike shoes,notclicked
Nike,Shoes,Nike,notclicked
Adidas,Clothes,Adidas clothes,notclicked
Adidas,Shoes,Store,clicked
Puma,Shoes,Puma shoes,clicked
Vero Moda,Clothes,Vero Moda Clothes,clicked
Puma,Clothes,Puma clothes ,clicked
reebok,Clothes,Reebok coolmax,clicked
nike ,Shoes,Nike Air max ,clicked
Kalenji,Clothes,Kalenji Clothes,clicked
fila ,Shoes,fila Basketball shoes,clicked
Nike jersey,Clothes,Nike Barcelona Jersey,clicked
jeans,Clothes,lee cooper jeans,clicked
pepe jeans ,Clothes,pepe shirts,notclicked
track pants,Clothes,nike track pant,clicked
Nike,Shoes,Nike shoes,clicked
Vrogn,Clothes,Vrogn,clicked
Reebok,Shoes,Reebok shoes,clicked
pepe jeans,Shoes,formal shoes,clicked
Adidas,Shoes,Adidas shoes,clicked
puma jersey,Clothes,puma jersey,clicked
Vero moda,Clothes,Vero moda,clicked
nike sturds,Shoes,nike sturds,notclicked
Reebok,Shoes,Reebok,clicked
Louis Philippe,Clothes,LP Jeans,notclicked
Van Heusen,Clothes,Van Heusen,notclicked
H&M,Clothes,H&M,clicked
U.S Polo,Clothes,US Polo T-shirts,clicked
Woodland,Shoes,Trekking Shoes,notclicked
Forever 21,Clothes,Forever 21,notclicked
Peter England,Clothes,Casual Shirts,clicked
Levis,Clothes,Levis Clothes ,notclicked
Levi's,Clothes,Jeans,notclicked
Flying Machine,Shoes,Flying Machine Shoes,clicked
Bata,Shoes,bata shoes,clicked
Forever 21,Clothes,Forever 21 Clothes,clicked
Buffalo,Clothes,Buffalo Clothes,notclicked
Flying Machine shirts,Clothes,Flying machine shirts,clicked
Flying Machine shirts,Clothes,Flying machine shirts,clicked
Nivia,Shoes,Nivia Shoes,clicked
Sparx,Shoes,Sparx Shoes,notclicked
Bossini,Clothes,Bossini Clothes,notclicked
Adidas,Shoes,Adidas Shoes,notclicked
Lyla,Clothes,lyla pyjamas,clicked
Rupa,Clothes,levis shirt,notclicked
Tommy hilfiger watches,Shoes,Tommy hilfiger shirts,notclicked
Puma,Shoes,Puma shoes,clicked
Abhishek Tiwari,Shoes,Abhiahek Tiwari,clicked
Reebok,Shoes,Reebok shoes,clicked
Reebok shirts,Clothes,Reebok shirts,clicked
Spykar shirts,Clothes,Spykar shirts,clicked
Woodland,Shoes,Flip-flops,notclicked
Roadster,Clothes,Roadster Shirt,clicked
ADIDAS,Clothes,adidas shirt,clicked
spykar,Clothes,spykar jeans,clicked
Puma,Shoes,Puma,clicked
Reid & taylor shirts,Clothes,reid & taylor,clicked
Being Human,Clothes,shirts,notclicked
puma shoes,Shoes,puma shoes,clicked
Killer jeans,Clothes,Store,clicked
flying machine shirts,Clothes,flying machine,clicked
U.S. Polo,Clothes,Jabong,notclicked
levis,Clothes,levis jeans,clicked
Marvel,Shoes,flipkart,clicked
sparx shoes,Shoes,sparx shoes,notclicked
roush shoes,Shoes,roush shoes,clicked
Jockey,Clothes,Ajio,clicked
mufti shirts,Clothes,mufti shirts,clicked
Nautica,Clothes,Amazon,clicked
Allen Solly shirts,Clothes,Allen shirts,notclicked
tommy hilfiger shirts,Clothes,tommy hilfiger,clicked
american eagle shirts,Clothes,american eagle t-shirts,not clicked
Duke shirts ,Clothes,Duke t-shirts,notclicked
Zara chappals,Clothes,Zara flipflops,clicked
Zara chappals,Shoes,Zara chappals,clicked
michael kors shirts,Clothes,michael kors shirt,clicked
benetton t shirts,Clothes,benetton t shirt,clicked
Huetrap t-shirts,Clothes,Huetraps coloured t-shirts,clicked
coach shirts,Clothes,caoch shirts,clicked
Integriti,Clothes,Shop,clicked
Adidas,Clothes,Adidas accessories,clicked
gap shirts,Clothes,gap shirts,clicked
Ralph auren shirts,Clothes,ralph lauren shirt,clicked
nike shirts,Shoes,nike shoes,not clicked
Provogue t-shirt,Clothes,levis t-shirts,clicked
Forever 21 jeans,Clothes,Forever 21 accessories,clicked
T shirts,Clothes,Being human t shirts,clicked
Rupa shirts,Clothes,Levis shirts,clicked
Kalenji shoes,Shoes,Kalenji running shoes,clicked
Nike running shoes,Shoes,Nike air shoes,clicked
Roadster shoes,Shoes,DC shoes,notclicked
Roadster shoes,Shoes,DC shoes,notclicked
Raymond shirts,Clothes,Peter England,clicked
Nike air,Shoes,Nike shoes,clicked
Nike running shoes,Shoes,Nike shoes,clicked






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































